question_id,title,description,required_fields,difficulty,category,reference_sql_pg,reference_sql_mysql,instance_tags,hints,status
QMY001,客户公司与国家,列出所有客户的公司名与国家,"company_name,country",beginner,filtering,"","SELECT company_name, country FROM customers ORDER BY company_name","mysql_default","基本筛选;按公司名排序",published
QMY002,德国客户数量,统计来自德国的客户数量,customer_count,beginner,aggregation,"","SELECT COUNT(*) AS customer_count FROM customers WHERE country = 'Germany'","mysql_default","COUNT 聚合;简单条件过滤",published
QMY003,最贵商品前五,列出单价最高的前5个商品及单价,"product_name,unit_price",beginner,sorting,"","SELECT product_name, unit_price FROM products ORDER BY unit_price DESC LIMIT 5","mysql_default","ORDER BY + LIMIT;降序排列",published
QMY004,缺货商品,列出库存为0的商品,"product_id,product_name",beginner,filtering,"","SELECT product_id, product_name FROM products WHERE units_in_stock = 0 ORDER BY product_id","mysql_default","等值过滤;选择列",published
QMY005,饮料类商品,列出类别为“Beverages”的所有商品,"product_id,product_name,category_name",beginner,joins,"","SELECT p.product_id, p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Beverages' ORDER BY p.product_id","mysql_default","内连接;维表过滤",published
QMY006,发往国家列表,列出订单中所有不同的发货国家,ship_country,beginner,distinct,"","SELECT DISTINCT ship_country FROM orders ORDER BY ship_country","mysql_default","DISTINCT 去重;排序",published
QMY007,每类商品数量,统计每个类别下的商品数量,"category_name,product_count",beginner,aggregation,"","SELECT c.category_name, COUNT(*) AS product_count FROM products p JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_name ORDER BY product_count DESC","mysql_default","GROUP BY;计数",published
QMY008,1997年订单数,统计1997年创建的订单数量,order_count,beginner,date-time,"","SELECT COUNT(*) AS order_count FROM orders WHERE YEAR(order_date) = 1997","mysql_default","YEAR 函数;按年过滤",published
QMY009,客户数最多的国家TOP5,按国家统计客户数量并取前5,"country,customer_count",beginner,aggregation,"","SELECT country, COUNT(*) AS customer_count FROM customers GROUP BY country ORDER BY customer_count DESC, country ASC LIMIT 5","mysql_default","分组聚合;多列排序",published
QMY010,高运费订单,列出运费大于100的订单号与运费,"order_id,freight",beginner,filtering,"","SELECT order_id, freight FROM orders WHERE freight > 100 ORDER BY freight DESC, order_id ASC","mysql_default","比较运算;多关键字排序",published
QMY011,客户订单数量TOP10,统计每个客户的订单数量并取前10,"customer_id,company_name,order_count",intermediate,joins,"","SELECT c.customer_id, c.company_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON o.customer_id = c.customer_id GROUP BY c.customer_id, c.company_name ORDER BY order_count DESC, c.customer_id ASC LIMIT 10","mysql_default","左连接;分组计数;TOPN",published
QMY012,员工处理订单数,统计每位员工处理的订单数量,"employee_id,last_name,first_name,order_count",intermediate,joins,"","SELECT e.employee_id, e.last_name, e.first_name, COUNT(o.order_id) AS order_count FROM employees e LEFT JOIN orders o ON o.employee_id = e.employee_id GROUP BY e.employee_id, e.last_name, e.first_name ORDER BY order_count DESC, e.employee_id ASC","mysql_default","维表连接;分组聚合",published
QMY013,商品销售额TOP10,按订单明细计算每个商品的总销售额并取前10,"product_id,product_name,total_sales",intermediate,aggregation,"","SELECT p.product_id, p.product_name, SUM(od.unit_price * od.quantity * (1 - od.discount)) AS total_sales FROM products p JOIN order_details od ON od.product_id = p.product_id GROUP BY p.product_id, p.product_name ORDER BY total_sales DESC LIMIT 10","mysql_default","金额聚合;折扣处理",published
QMY014,各国平均发货延迟,计算各发货国家平均发货延迟(天),"ship_country,avg_delay_days",intermediate,date-time,"","SELECT ship_country, AVG(DATEDIFF(shipped_date, order_date)) AS avg_delay_days FROM orders WHERE shipped_date IS NOT NULL AND order_date IS NOT NULL GROUP BY ship_country ORDER BY avg_delay_days DESC","mysql_default","DATEDIFF;平均值",published
QMY015,年度订单数,统计每年订单数量,"year,order_count",intermediate,date-time,"","SELECT YEAR(order_date) AS year, COUNT(*) AS order_count FROM orders GROUP BY YEAR(order_date) ORDER BY year","mysql_default","YEAR 分组;年度汇总",published
QMY016,从未被订购的商品,找出从未出现在订单明细里的商品,"product_id,product_name",intermediate,anti-join,"","SELECT p.product_id, p.product_name FROM products p LEFT JOIN order_details od ON od.product_id = p.product_id WHERE od.product_id IS NULL ORDER BY p.product_id","mysql_default","反连接模式;NULL 过滤",published
QMY017,类别平均单价,计算每个类别的平均商品单价,"category_name,avg_price",intermediate,aggregation,"","SELECT c.category_name, AVG(p.unit_price) AS avg_price FROM products p JOIN categories c ON c.category_id = p.category_id GROUP BY c.category_name ORDER BY avg_price DESC","mysql_default","AVG 聚合;维度分组",published
QMY018,折扣订单占比,统计有折扣(>0)的订单数量及占比,"discounted_order_count,percentage",intermediate,aggregation,"","WITH a AS (SELECT COUNT(DISTINCT order_id) AS total_orders FROM order_details), b AS (SELECT COUNT(DISTINCT order_id) AS discounted_order_count FROM order_details WHERE discount > 0) SELECT b.discounted_order_count, ROUND(100.0 * b.discounted_order_count / NULLIF(a.total_orders,0), 2) AS percentage FROM a, b","mysql_default","去重计数;占比计算",published
QMY019,客户最近下单日期,查询每位客户最近一次下单日期,"customer_id,company_name,last_order_date",intermediate,aggregation,"","SELECT c.customer_id, c.company_name, MAX(o.order_date) AS last_order_date FROM customers c LEFT JOIN orders o ON o.customer_id = c.customer_id GROUP BY c.customer_id, c.company_name ORDER BY last_order_date DESC","mysql_default","MAX 聚合;左连接",published
QMY020,供应商销售额TOP5,统计各供应商的总销售额并取前5,"supplier_id,company_name,total_sales",intermediate,aggregation,"","SELECT s.supplier_id, s.company_name, SUM(od.unit_price * od.quantity * (1 - od.discount)) AS total_sales FROM suppliers s JOIN products p ON p.supplier_id = s.supplier_id JOIN order_details od ON od.product_id = p.product_id GROUP BY s.supplier_id, s.company_name ORDER BY total_sales DESC LIMIT 5","mysql_default","多表连接;金额聚合",published
QMY021,各国内客户销售额排名TOP3,每个国家内按客户总销售额排名取前3,"country,customer_id,company_name,total_sales,rank",advanced,window,"","WITH sales AS ( SELECT c.country, c.customer_id, c.company_name, SUM(od.unit_price * od.quantity * (1 - od.discount)) AS total_sales FROM customers c JOIN orders o ON o.customer_id = c.customer_id JOIN order_details od ON od.order_id = o.order_id GROUP BY c.country, c.customer_id, c.company_name ), ranked AS ( SELECT country, customer_id, company_name, total_sales, RANK() OVER (PARTITION BY country ORDER BY total_sales DESC) AS rnk FROM sales ) SELECT country, customer_id, company_name, total_sales, rnk AS rank FROM ranked WHERE total_sales IS NOT NULL AND rnk <= 3","mysql_default","窗口函数 RANK;分组排名",published
