question_id,title,description,required_fields,difficulty,category,reference_sql_pg,reference_sql_mysql,instance_tags,hints,status
QPG001,客户公司与国家,列出所有客户的公司名与国家,"company_name,country",beginner,filtering,"SELECT company_name, country FROM customers ORDER BY company_name","","pg_default","基本筛选;按公司名排序",published
QPG002,德国客户数量,统计来自德国的客户数量,customer_count,beginner,aggregation,"SELECT COUNT(*) AS customer_count FROM customers WHERE country = 'Germany'","","pg_default","COUNT 聚合;简单条件过滤",published
QPG003,最贵商品前五,列出单价最高的前5个商品及单价,"product_name,unit_price",beginner,sorting,"SELECT product_name, unit_price FROM products ORDER BY unit_price DESC LIMIT 5","","pg_default","ORDER BY + LIMIT;降序排列",published
QPG004,缺货商品,列出库存为0的商品,"product_id,product_name",beginner,filtering,"SELECT product_id, product_name FROM products WHERE units_in_stock = 0 ORDER BY product_id","","pg_default","等值过滤;选择列",published
QPG005,饮料类商品,列出类别为“Beverages”的所有商品,"product_id,product_name,category_name",beginner,joins,"SELECT p.product_id, p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.category_id WHERE c.category_name = 'Beverages' ORDER BY p.product_id","","pg_default","内连接;维表过滤",published
QPG006,发往国家列表,列出订单中所有不同的发货国家,ship_country,beginner,distinct,"SELECT DISTINCT ship_country FROM orders ORDER BY ship_country","","pg_default","DISTINCT 去重;排序",published
QPG007,每类商品数量,统计每个类别下的商品数量,"category_name,product_count",beginner,aggregation,"SELECT c.category_name, COUNT(*) AS product_count FROM products p JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_name ORDER BY product_count DESC","","pg_default","GROUP BY;计数",published
QPG008,1997年订单数,统计1997年创建的订单数量,order_count,beginner,date-time,"SELECT COUNT(*) AS order_count FROM orders WHERE EXTRACT(YEAR FROM order_date) = 1997","","pg_default","EXTRACT 年份;按年过滤",published
QPG009,客户数最多的国家TOP5,按国家统计客户数量并取前5,"country,customer_count",beginner,aggregation,"SELECT country, COUNT(*) AS customer_count FROM customers GROUP BY country ORDER BY customer_count DESC, country ASC LIMIT 5","","pg_default","分组聚合;多列排序",published
QPG010,高运费订单,列出运费大于100的订单号与运费,"order_id,freight",beginner,filtering,"SELECT order_id, freight FROM orders WHERE freight > 100 ORDER BY freight DESC, order_id ASC","","pg_default","比较运算;多关键字排序",published
QPG011,客户订单数量TOP10,统计每个客户的订单数量并取前10,"customer_id,company_name,order_count",intermediate,joins,"SELECT c.customer_id, c.company_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON o.customer_id = c.customer_id GROUP BY c.customer_id, c.company_name ORDER BY order_count DESC, c.customer_id ASC LIMIT 10","","pg_default","左连接;分组计数;TOPN",published
QPG012,员工处理订单数,统计每位员工处理的订单数量,"employee_id,last_name,first_name,order_count",intermediate,joins,"SELECT e.employee_id, e.last_name, e.first_name, COUNT(o.order_id) AS order_count FROM employees e LEFT JOIN orders o ON o.employee_id = e.employee_id GROUP BY e.employee_id, e.last_name, e.first_name ORDER BY order_count DESC, e.employee_id ASC","","pg_default","维表连接;分组聚合",published
